EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked
104,30.0,Travel_Rarely,852.0,Research & Development,1.0,1.0,Life Sciences,1.0,4.0,Male,55.0,2.0,2.0,Laboratory Technician,4.0,Married,5126.0,15998.0,1.0
1638,38.0,Travel_Rarely,397.0,Research & Development,2.0,2.0,Medical,1.0,4.0,Female,54.0,2.0,3.0,Manufacturing Director,3.0,Married,7756.0,14199.0,3.0
164,26.0,Travel_Rarely,841.0,Research & Development,6.0,3.0,Other,1.0,3.0,Female,46.0,2.0,1.0,Research Scientist,2.0,Married,2368.0,23300.0,1.0
395,28.0,Travel_Rarely,1117.0,Research & Development,8.0,2.0,Life Sciences,1.0,4.0,Female,66.0,3.0,1.0,Research Scientist,4.0,Single,3310.0,4488.0,1.0
53,35.0,Travel_Rarely,464.0,Research & Development,4.0,2.0,Other,1.0,3.0,Male,75.0,3.0,1.0,Laboratory Technician,4.0,Divorced,1951.0,10910.0,1.0
1467,34.0,Travel_Rarely,1107.0,Human Resources,9.0,4.0,Technical Degree,1.0,1.0,Female,52.0,3.0,1.0,Human Resources,3.0,Married,2742.0,3072.0,1.0
727,32.0,Travel_Rarely,1018.0,Research & Development,3.0,2.0,Life Sciences,1.0,3.0,Female,39.0,3.0,3.0,Research Director,4.0,Single,11159.0,19373.0,3.0
351,42.0,Travel_Rarely,269.0,Research & Development,2.0,3.0,Medical,1.0,4.0,Female,56.0,2.0,1.0,Laboratory Technician,1.0,Divorced,2593.0,8007.0,0.0
555,34.0,Travel_Frequently,296.0,Sales,6.0,2.0,Marketing,1.0,4.0,Female,33.0,1.0,1.0,Sales Representative,3.0,Divorced,2351.0,12253.0,0.0
253,40.0,Travel_Rarely,989.0,Research & Development,4.0,1.0,Medical,1.0,4.0,Female,46.0,3.0,5.0,Manager,3.0,Married,19033.0,6499.0,1.0
1363,48.0,Travel_Rarely,855.0,Research & Development,4.0,3.0,Life Sciences,1.0,4.0,Male,54.0,3.0,3.0,Manufacturing Director,4.0,Single,7898.0,18706.0,1.0
1799,28.0,Travel_Rarely,1181.0,Research & Development,1.0,3.0,Life Sciences,1.0,3.0,Male,82.0,3.0,1.0,Research Scientist,4.0,Married,2044.0,5531.0,1.0
42,39.0,Travel_Rarely,895.0,Sales,5.0,3.0,Technical Degree,1.0,4.0,Male,56.0,3.0,2.0,Sales Representative,4.0,Married,2086.0,3335.0,3.0
724,38.0,Travel_Rarely,827.0,Research & Development,1.0,4.0,Life Sciences,1.0,2.0,Female,33.0,4.0,2.0,Healthcare Representative,4.0,Single,7625.0,19383.0,0.0
1671,32.0,Travel_Rarely,977.0,Research & Development,2.0,3.0,Medical,1.0,4.0,Male,45.0,3.0,2.0,Research Scientist,2.0,Divorced,5470.0,25518.0,0.0
1624,18.0,Travel_Frequently,544.0,Sales,3.0,2.0,Medical,1.0,2.0,Female,70.0,3.0,1.0,Sales Representative,4.0,Single,1569.0,18420.0,1.0
1778,43.0,Travel_Rarely,244.0,Human Resources,2.0,3.0,Life Sciences,1.0,2.0,Male,97.0,3.0,1.0,Human Resources,4.0,Single,3539.0,5033.0,0.0
930,28.0,Travel_Rarely,995.0,Research & Development,9.0,3.0,Medical,1.0,3.0,Female,77.0,3.0,1.0,Research Scientist,3.0,Divorced,2377.0,9834.0,5.0
514,30.0,Travel_Frequently,464.0,Research & Development,4.0,3.0,Technical Degree,1.0,3.0,Male,40.0,3.0,1.0,Research Scientist,4.0,Single,2285.0,3427.0,9.0
669,21.0,Travel_Rarely,1343.0,Sales,22.0,1.0,Technical Degree,1.0,3.0,Male,49.0,3.0,1.0,Sales Representative,3.0,Single,3447.0,24444.0,1.0
32,53.0,Travel_Rarely,1282.0,Research & Development,5.0,3.0,Other,1.0,3.0,Female,58.0,3.0,5.0,Manager,3.0,Divorced,19094.0,10735.0,4.0
1015,30.0,Travel_Rarely,153.0,Research & Development,8.0,2.0,Life Sciences,1.0,2.0,Female,73.0,4.0,3.0,Research Director,1.0,Married,11416.0,17802.0,0.0
1858,28.0,Non-Travel,280.0,Human Resources,1.0,2.0,Life Sciences,1.0,3.0,Male,43.0,3.0,1.0,Human Resources,4.0,Divorced,2706.0,10494.0,1.0
1383,34.0,Travel_Rarely,404.0,Research & Development,2.0,4.0,Technical Degree,1.0,3.0,Female,98.0,3.0,2.0,Healthcare Representative,4.0,Single,6687.0,6163.0,1.0
894,42.0,Travel_Rarely,1265.0,Research & Development,3.0,3.0,Life Sciences,1.0,3.0,Female,95.0,4.0,2.0,Laboratory Technician,4.0,Married,5231.0,23726.0,2.0
