EmployeeNumber,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,YearlyIncome
104,Y,Yes,12.0,3.0,3.0,80.0,2.0,10.0,1.0,2.0,10.0,8.0,3.0,0.0,No,61512.0
1638,Y,Yes,19.0,3.0,4.0,80.0,1.0,10.0,6.0,4.0,5.0,4.0,0.0,2.0,No,93072.0
164,Y,No,19.0,3.0,3.0,80.0,0.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,No,28416.0
395,Y,No,21.0,4.0,4.0,80.0,0.0,5.0,3.0,3.0,5.0,3.0,0.0,2.0,No,39720.0
53,Y,No,12.0,3.0,3.0,80.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,No,23412.0
1467,Y,No,15.0,3.0,4.0,80.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,Yes,32904.0
727,Y,No,15.0,3.0,4.0,80.0,0.0,10.0,6.0,3.0,7.0,7.0,7.0,7.0,No,133908.0
351,Y,Yes,11.0,3.0,3.0,80.0,1.0,10.0,4.0,3.0,9.0,6.0,7.0,8.0,No,31116.0
555,Y,No,16.0,3.0,4.0,80.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,Yes,28212.0
253,Y,No,14.0,3.0,2.0,80.0,1.0,21.0,2.0,3.0,20.0,8.0,9.0,9.0,No,228396.0
1363,Y,No,11.0,3.0,3.0,80.0,0.0,11.0,2.0,3.0,10.0,9.0,0.0,8.0,No,94776.0
1799,Y,No,11.0,3.0,3.0,80.0,1.0,5.0,6.0,4.0,5.0,3.0,0.0,3.0,No,24528.0
42,Y,No,14.0,3.0,3.0,80.0,1.0,19.0,6.0,4.0,1.0,0.0,0.0,0.0,Yes,25032.0
